id;version;path;type;release_date;status
1;payment Nigeria;SAS Checking hack;SOFTWARE;2021-10-05T03:40:18;transmit orchestration holistic
2;Concrete blue Rustic;infrastructures unleash Concrete;FIRMWARE;2021-10-05T08:06:54;Dynamic Fish Human
3;deposit interactive;Gorgeous encompassing;FIRMWARE;2021-10-05T10:54:20;Coordinator Soft Table
4;Executive system;Shirt intranet;SOFTWARE;2021-10-05T12:50:45;hack Saarland
5;fuchsia heuristic XML;Pants technologies;FIRMWARE;2021-10-05T06:22:25;withdrawal Soft
6;grid-enabled;Beauty;FIRMWARE;2021-10-05T13:52:51;Niedersachsen
7;superstructure Integrated;hybrid Namibia;SOFTWARE;2021-10-04T21:00:33;productize transmitter
8;niches;partnerships invoice;FIRMWARE;2021-10-05T03:09:47;Central
9;deposit copying open-source;Berlin;SOFTWARE;2021-10-05T02:36:44;Account incubate
10;microchip;Borders;FIRMWARE;2021-10-05T03:18:16;Drive killer wireless
